id,SalePrice
2658,102542.92031290938
2718,179253.16444543173
2414,211416.87833344942
1989,102624.64023721608
625,160965.50757339463
333,86059.12790362822
1327,101417.3330385409
858,166008.9637411739
95,195101.65563714353
1568,165189.2008763291
2482,176695.18938689603
1364,110218.44945635536
2584,150502.65961937746
818,250808.9687233935
2673,148336.20970143296
2089,142443.13646794215
1297,139805.4412195636
790,119215.39297303802
2616,211618.95888651873
720,183379.64642325148
222,158390.0527674922
557,107651.8412548386
1148,195387.6597989925
2766,162160.11402537295
534,164847.5867754983
1452,131933.60108038207
630,160676.3287121058
2648,158244.63143747475
125,143797.71610913047
1904,45346.67106012575
1670,103930.36425313554
756,110422.08145799927
717,171658.74112692184
1032,154624.23224484443
852,226902.1322593281
1731,162617.5587809239
2639,116673.24004687302
2071,75829.52144753191
1267,135193.28761509265
1851,208040.1124036071
567,177476.74743850483
2439,214337.3095151423
1898,149195.20970547968
647,179943.8256643103
2256,244942.9742378564
979,98892.55736425062
1444,229014.02607830678
2485,136831.82256023894
157,109312.74394698197
88,111736.02701026638
2003,105601.76258081297
186,190650.62333077367
1425,226539.2021846971
2695,128681.09418433491
738,97508.4798431375
395,143243.95806452882
1353,160492.43323299784
1878,168684.92248751904
390,147271.97905287961
1456,229484.93187396677
1103,303934.4312967167
1387,130079.50017050991
2070,137220.99552483106
1199,148210.71186752536
2479,194195.82319175632
501,310509.8501167535
2362,92935.2285106084
1718,267307.9163668443
2188,96738.52882422015
1483,175935.20304236084
2557,103921.41866879165
437,353172.6477385598
2224,177295.8648995331
1628,186052.01457370963
397,127359.65627759724
587,188306.25445418246
971,189574.12101623014
2611,120965.76967160904
1887,90703.96121307713
2399,342628.0153751746
2148,213213.23413511046
304,110662.71885780239
1997,152943.52477919182
2817,115327.143849515
1431,193997.6641415449
427,345212.5041270183
263,122901.34761974763
598,176528.54112843674
2895,238077.7827946932
687,120240.4843138145
1822,138103.3741163928
2191,103048.52710648172
179,80630.28118357132
1009,261471.0105450516
2010,119822.68423547738
1991,141827.286443146
1411,178175.32449832704
1721,289876.4799499424
1144,198412.9291820735
593,195464.56811837433
575,307415.0575142943
1249,176182.23413797776
1604,132250.77343099908
1064,392374.9854212022
1923,138709.56723726663
1988,120649.45954296266
2325,182403.118353114
114,182332.23897208198
2700,172510.36557178647
217,151413.1105098101
343,171158.77213516104
386,210267.5836172633
2005,105941.98233472032
2908,127795.20187008294
1814,218653.29381696437
2446,390057.7542158339
208,150603.76889882068
1679,103833.88628549367
822,288491.13498271833
6,214748.58251794096
1781,346530.9588789267
2397,298381.83088087506
2340,317374.6374795931
1618,161878.45297115
2843,162442.96505447157
1061,351361.395921349
2786,131654.86819415435
1935,129920.28144635522
1341,119477.6055377262
521,231493.22522140847
2136,164128.33827253355
996,186341.0333912698
227,145419.14828054886
135,167148.63446030312
1167,175381.06667795277
294,235606.56557755952
1776,196242.98877485277
540,150776.85376388353
1717,267307.9163668443
2303,123708.3707360389
116,187531.34671994153
127,163728.7822586678
1371,120108.46007951401
1014,178395.94201852527
1507,92611.5711968285
702,148571.31032393972
750,131158.7600610364
261,150145.6907017922
1559,56225.17339808692
577,240368.0295637339
2812,189919.86289343482
2080,158457.25071671506
1368,85012.74918366305
2376,115432.92579369742
659,130449.47605528124
1235,142463.0410569518
332,70630.57443999237
1917,135709.01624470664
2094,215570.66063464165
1460,235489.41661100456
1471,212327.48470583145
1509,110837.33477371684
1922,126509.20416336053
433,446672.96063472057
460,308761.4354759826
1116,245932.50265062432
1137,146088.7987406255
53,172542.41994888306
2354,262295.1996721293
1475,215836.575205101
1761,447517.0417936721
842,142040.28965663124
2739,173514.36407308164
2509,158746.10357970814
1007,210060.97965558944
2610,176625.86191224732
1952,104778.33568167244
2719,187928.46991792636
2921,86616.25797501806
1966,150739.73846393463
292,130006.0233136497
1204,179121.2702549884
1829,259132.20074001688
2419,179764.61233745195
391,156754.68784077273
798,105313.58698691399
481,212279.24468027725
193,202837.4101864728
555,118393.84311207145
899,64122.97647649405
2357,162714.64125997323
328,106475.32713364685
1356,68011.3813816407
1154,125161.27415627288
1730,190796.26425080135
2249,148637.24994647707
1119,281017.4806326151
2856,144684.4584993738
1394,146265.93398265925
2587,131218.738446681
61,310465.5164739835
2661,147391.45112763246
2711,122638.46382713359
1147,203942.09010274702
757,116165.11716420506
2623,111454.46922153598
2378,149596.5062462942
1413,125352.4588881983
1722,276579.7890746588
1112,239815.04401526478
1623,189701.70672591717
1201,225817.43119087227
1513,132202.3803616176
957,254603.55311227386
1171,258877.39253384306
1145,195074.75885424315
2726,210201.60140635486
703,118502.68005237178
760,123939.11005163292
1964,164571.39495315804
2512,213982.8042552807
159,132842.67857315176
1281,177910.23479078355
468,194911.64172889217
290,111526.43798623426
665,97668.52334148035
1463,250401.11120377382
1792,233094.03672983753
923,160752.8006421168
500,288363.597283967
1408,140086.4196493079
331,55501.931058345246
170,189186.40207546332
2192,96406.72610192801
2571,248883.049900355
2314,164117.10875281144
2647,80488.55093302374
422,420722.43105098367
2457,312434.2450021322
1838,205425.84625991882
2805,221099.48931802047
1645,154628.55420008738
1711,329354.34013781184
2825,220248.57603978552
322,276964.03251688625
2103,229528.36539989256
342,102332.8241622338
600,121378.5856415435
488,179830.96013146918
1725,330231.72696986323
2246,267286.2245543893
2847,150570.44156813493
806,232267.8428951889
530,237238.47765428125
963,199372.1154577582
2678,122770.68246014212
171,84721.23882777273
2401,409992.65659076715
805,236961.31762188283
2259,270776.4998221721
1748,207859.77436807618
1361,129652.32688480959
1677,116209.88229926117
1406,142188.00996492786
2322,220240.3918899775
688,143489.8110564155
143,140837.021572879
804,213205.195610083
1214,146090.97351879254
2828,121437.5116694853
1999,184347.77357986692
2467,190586.88618114992
2665,155813.13668714027
1538,293353.43215865345
398,120605.1288258555
2822,117447.4724108568
2157,165108.16149868787
1856,200464.1174252262
1269,115919.85936870644
2570,114164.87005703867
2320,209583.85823654226
1517,109694.86992135114
2304,115880.34672516026
1312,91675.32253787032
2012,143584.3249797569
506,264432.5378092218
2865,213628.8575802113
2367,98653.92687921418
554,81865.62988378352
238,115967.26955757057
1954,111819.00204383332
2488,131377.9449620546
2291,78863.68267558026
