id,SalePrice
2658,109028.69693319843
2718,175850.70020942506
2414,219810.6256401664
1989,112316.6328970854
625,162205.14515113726
333,86197.0713761771
1327,97778.69228602963
858,159063.132399356
95,193759.59555066715
1568,166244.44904990506
2482,177025.19792902103
1364,119808.09055175463
2584,154419.40273369814
818,262209.826545474
2673,153524.67478510737
2089,122936.1592704801
1297,144255.86986483255
790,122229.50605394645
2616,207729.14614861493
720,186564.2921071463
222,152284.14513866778
557,114301.22616274544
1148,193255.97900502133
2766,164698.1550106592
534,168457.74046604038
1452,124092.13655778649
630,150008.2418969468
2648,150694.64322377107
125,150532.6144785821
1904,48709.72271765373
1670,100241.06427462207
756,127921.94648451213
717,188177.15735814796
1032,159624.58923377655
852,223885.69043949415
1731,162881.02173904504
2639,106994.14022288931
2071,73888.90146893624
1267,145482.64388304984
1851,208960.9425567981
567,177572.45503800135
2439,212654.86470355134
1898,151496.5279267591
647,166613.4022821163
2256,234508.9420225412
979,93569.24936082945
1444,227030.19028752676
2485,134361.50848471257
157,104569.3664835472
88,108483.49983981194
2003,104647.09229469486
186,184998.33482956054
1425,230791.32662894193
2695,128849.31381363451
738,95532.23234163749
395,146831.6564532622
1353,156638.24903763254
1878,161421.36583327426
390,150801.2086838875
1456,237450.32223736553
1103,306914.4302791796
1387,136250.93386013125
2070,132738.07673000218
1199,157367.9444351882
2479,194320.4702626032
501,311153.01566742465
2362,87407.47513682029
1718,258846.81302451587
2188,92483.47921155891
1483,175230.82785022055
2557,111392.22222858877
437,360512.20585974376
2224,193232.72585939022
1628,185629.7415603905
397,121418.44436741923
587,190629.2184350908
971,182479.58139538585
2611,108334.58612264879
1887,78717.6075447705
2399,347521.93040852307
2148,209211.1481995184
304,113887.09132009046
1997,142407.508798949
2817,122142.41081504337
1431,188277.59411325207
427,347536.974337749
263,128455.29532428761
598,180944.15095960634
2895,235278.22282223293
687,132361.29944853083
1822,130929.77954970504
2191,109695.00750417111
179,79937.29767367552
1009,257275.58629264007
2010,119151.50011618907
1991,135232.3377271038
1411,172790.00868939486
1721,282985.242719593
1144,198984.60563191742
593,195900.78669422498
575,302675.47732803324
1249,178054.7079013728
1604,124120.88658003061
1064,388061.98970461276
1923,135663.7114342064
1988,110258.6635850746
2325,178929.89506327856
114,188214.39328223013
2700,174896.77458917885
217,138178.51768931723
343,172191.17991822027
386,207901.00346760463
2005,89769.22979835814
2908,121913.62935898546
1814,221122.6489573433
2446,401321.1476128778
208,153227.61968701123
1679,112518.5819902023
822,290220.48120214266
6,210232.23771567602
1781,346903.6170329258
2397,302818.68043750245
2340,309892.6074002137
1618,165758.5874887635
2843,162412.53077671956
1061,353794.99427965534
2786,126408.09268847469
1935,124726.07141009282
1341,119797.3691031356
521,240849.7474226284
2136,164131.63276883576
996,184011.1694793001
227,157283.1054280987
135,159812.69024861488
1167,171761.98431759572
294,222619.78262200695
1776,195044.3028288132
540,155106.23705216037
1717,258845.3329717202
2303,120237.98113156692
116,186821.72895378782
127,157980.26866687322
1371,123851.30136819859
1014,196372.82336349174
1507,74505.16965686809
702,146950.00600744813
750,137538.46137855249
261,145232.01614449912
1559,54939.538858560845
577,239790.73382598604
2812,191998.9813252606
2080,151634.88208518684
1368,79820.69442150579
2376,111695.94456048048
659,128896.4621902181
1235,134135.8456239897
332,68710.0083809304
1917,131549.49690669205
2094,230818.86614392133
1460,230373.1291507152
1471,210288.8773820005
1509,111408.52877587656
1922,120397.0372728213
433,438105.0665986319
460,301091.05425512826
1116,248057.96503191616
1137,150519.47161817778
53,171732.45494044502
2354,256875.81673164025
1475,211834.181782068
1761,440658.7868917964
842,148414.35316117358
2739,176867.3445645052
2509,162639.2179262329
1007,207926.16097541555
2610,181682.27800910402
1952,102395.15391367848
2719,182494.01795494277
2921,86695.185217241
1966,147661.44722212496
292,121083.57893600821
1204,182019.93387253495
1829,257284.25452425244
2419,180231.4807768339
391,160762.92436324497
798,106010.2124609719
481,210410.40339486994
193,193368.17425716209
555,127636.69967418257
899,65563.0307256504
2357,166482.99807110813
328,104237.99022573198
1356,74516.36392608288
1154,122233.90486288216
1730,189346.9475055234
2249,151820.33023209206
1119,282691.81044672045
2856,138472.64032171102
1394,141758.80970368814
2587,138512.67349456553
61,318103.35454217135
2661,145580.34836441046
2711,122380.08903411124
1147,199764.8025530043
757,108659.35903945722
2623,107941.45358239545
2378,150276.56832803076
1413,118954.52924878581
1722,272943.6424459504
1112,247872.77266769734
1623,186352.86747106537
1201,220379.11040769523
1513,124917.45480006206
957,400672.28276368
1171,250858.58384930156
1145,194380.31193362444
2726,204951.13161312358
703,107245.45205078862
760,114768.86763961258
1964,160524.61089353415
2512,211693.7758021658
159,138220.66219885868
1281,176677.11043718387
468,196582.50845948735
290,121021.99939569423
665,107615.14682601689
1463,247813.5297912595
1792,239115.20027050294
923,160291.58251063933
500,292723.645182483
1408,135183.36888107646
331,54753.0330276404
170,173255.01287180412
2192,99236.11613458255
2571,266428.7471559442
2314,166056.7485229522
2647,72914.62203516779
422,417918.4344171084
2457,315982.06786235794
1838,207521.99555155542
2805,220613.5413662113
1645,157287.2147616106
1711,332571.18257370044
2825,221322.96103027754
322,282020.0758386067
2103,234004.92389842117
342,99338.09936091688
600,129491.77095331764
488,173965.65046271088
1725,320034.9358863286
2246,261953.7776156892
2847,145024.91508790088
806,229986.38501605258
530,235872.8868381097
963,197342.07729024364
2678,121281.02372188808
171,74510.51086717649
2401,414381.95988652785
805,241450.20319955808
2259,269068.20101976435
1748,208033.82737535943
1361,130482.20728933526
1677,113233.91766304744
1406,146869.56345895695
2322,231727.18813138723
688,144653.0613521521
143,133412.365982785
804,210729.86009181
1214,151447.47518456244
2828,125182.74997809768
1999,175694.79891763738
2467,197747.45768345013
2665,156209.96678653045
1538,297084.40996726713
398,130139.81868330238
2822,118888.63917096413
2157,165123.71127078106
1856,199578.43388219533
1269,108134.69828635198
2570,111351.52440537943
2320,218588.0719774607
1517,111805.5653520751
2304,109090.19568143354
1312,90597.0360773532
2012,151752.9523699034
506,276513.1426193261
2865,216399.77573532244
2367,93956.61876294314
554,92869.46036913659
238,112295.93565433245
1954,107692.97158165538
2488,118801.27647379215
2291,81538.71793732341
1969,82528.41304929266
2725,186158.8036725794
1482,175230.82785022055
2763,190266.8362539134
503,286058.82303851825
1584,248477.6645224471
1531,178501.98864218808
2210,184297.79922160652
459,338914.2900591031
556,129773.87322454073
1347,137549.47369151493
1290,73011.27377662304
1388,109355.43311516871
1571,335931.6790410072
2754,197935.96583089058
765,120654.35730486369
2494,113615.33481960866
2870,224080.9759463257
7,272037.48891846905
1114,262030.03213346732
2418,252944.3556218024
291,155164.57242212287
18,356826.76757585106
39,362501.8930090633
1001,303031.8344213455
2442,233824.34502879472
616,130883.62169243052
2680,47952.68578027896
1414,123291.04900575522
289,174158.01443654695
40,261231.077841572
860,138046.02767121815
409,111839.74699015263
673,144302.02495997946
2427,171224.71914686455
